周	代名也周至也遍也備也今名書義取周普
相過之過	並古臥反
棟徐丁貢反橈	乃敎反曲折也下同
拯	拯救之拯
弱	本亦作溺並依字讀下救其弱拯弱皆同
而説音悦注同救難難乃	並乃旦反上六注同
遯	本又作遁同徒遜反
藉	在夜反下同馬云在下曰藉
唯慎	辰震反
枯楊	如字鄭音姑謂無姑山榆榆羊朱反
稊	徒稽反楊之秀也鄭作荑荑木更生音夷謂山榆之實
老夫	如字下同
特吝	特或作持
能令	力呈反
得少	詩照反下同
則稺	直吏反
者長	丁丈反
淹溺	乃厯反
生華	如字徐音花
无譽	音預又音餘
滅頂	徐都令反
䷜習	便習也重也劉云水流行不休故曰習
坎	徐苦感反本亦作埳京劉作欿險也陷也八純卦象水
險陷	陷没之陷
謂便	婢面反下同
重險	直龍反注下並同
陗	七妙反
洊在薦反徐在悶反舊又才本反爾雅云再也劉云仍也京作臻于作荐徳行	下孟反注同
險難乃旦反下險難同則夫	音符
窞	徒坎反説文云坎中更有坎王肅又作徒感反云窞坎底也字林云坎中小坎一曰旁入
處欿	亦作坎字
而復	扶又反下雖復同
險且	如字古文及鄭向本作檢鄭云木在手曰檢
枕	徐針鴆反王肅針甚反鄭𤣥云木在首曰枕陸云閑礙險害之貌九家作玷古文作沈沈直林反
出則之坎	一本作出則亦坎誤
樽酒	音尊絶句
簋貳	音軌絶句
用缶方有反絶句舊讀樽句酒簋絶句貳用缶一自牖	音酉陸音誘
承比	毗志反下同
之食	音嗣飯也
象曰樽酒簋	一本更有貳字
祇	音支又祈支反鄭云當為坻小丘也京作禔説文同音支又上支反安也
盡平	津忍反
徽	許韋反
纆	音墨劉云三股曰徽兩股曰纆皆索名
寘	之䜴反置也注同劉作示言衆議於九棘之下也子夏傳作湜姚作寔寔置也張作置
叢	才公反
法峻荀潤反䷝離	列池反麗也麗著也八純卦象日象火
畜	許六反注同
牝	頻忍反徐又扶允反
外強	其良反
猶著	直畧反卦内同
草木麗	如字説文作䕻
乎土	王肅本作地
重眀直龍反明兩作	鄭云作起也荀云用也
明照相繼	一本無明照二字
履錯	鄭徐七各反馬七路反
警	京領反
辟其	音避象同
日※	王嗣宗本作仄音同
鼓	鄭本作擊
大耊	田節反馬云七十曰耊王肅又他結反云入十曰耊京作絰蜀才作咥
之嗟	如字王肅又遭哥仄荀作差下嗟若亦爾
凶	古文及鄭無凶字
突	徒忽反王肅唐屑反舊又湯骨仄字林同云暫出
逼近	附近之近
出	如字徐尺遂反王嗣宗勑類反
涕	徐他米反又音弟
沱	徒河反荀作池一本作沲
若	古文若皆如此
戚	千寂反子夏傳作嘁嘁子六反咨慙也
不勝	音升
逆首	本又作逆道兩得
離王公也	音麗鄭作麗王肅云麗王者之後為公梁武力智反王嗣宗同
折首	徐之舌反注同
以去	羗呂反
王用出征以正邦也	王肅本此下更有獲匪其醜大有功也
周易下經咸傳第四䷞咸	如字彖云感也兊宫三世卦
取	七具反本亦作娶音同
相與	如字鄭云與猶親也
而説	音恱
男下	遐嫁反下注必下同
見於	賢遍反
各亢	口浪反本或作有
拇	茂后反馬鄭薛云足大指也子夏作※荀作母云隂位之尊
腓	房非反鄭云膞腸也膞音市臠反王廙云腓腓腸也荀作肥云謂五也尊盛故稱肥
離拇	力智反
動躁	早報反
股	音古
憧憧	昌容反馬云行貌王肅云往來不絶貌廣雅云往來也劉云意未定也徐又音童又音鍾京作※字林云※遲也丈冢反
脢	武杯反又音每心之上口之下也鄭云背脊肉也説文同王肅又音灰廣雅云胂謂之脢胂音以人反
輔	如字馬云上頷也虞作䩉云耳目之間
頰	兼叶反孟作俠
滕	徒登反逹也九家作乗虞作媵鄭云送也
口說	如字注同徐音脫又始銳反
䷟恒	如字久也震宫三世卦
長陽長隂	並丁丈反大象注同
媲	普計反配也
復始	扶又反
見於	賢遍反
浚	荀潤反深也鄭作濬
令物	力呈反
餘緼	紆粉反廣雅云積也
或承	或冇也一云常也鄭本作咸承
徳行	下孟反
詰	去吉反
而分	扶運反
振恒	之刃反馬云動也鄭云摇落也張作震
䷠遯	徒巽反字又作※又作遁同隱退也匿迹避時奉身退隱之謂也鄭云逃去之名序卦云遯者退也乾宫二世卦
夫靜	音扶
非否	備鄙反下同
亢	苦浪反
浸	子鴆反注同
而長丁丈反卦内同或如字以逺	袁万反注並同
辟内	音避
難可	乃旦反
何災	音河禇河可反今不用
勝	升證反又音升注同
説	王肅如字解説也師同徐吐活反又始鋭反
遯巳	音以或音紀
係遯	古詣反本或作繫
近二	附近之近
憊	蒲拜反鄭云困也廣雅云極也王肅作斃荀作備
好遯	呼報反注下同
小人否	音鄙注下同惡也徐方有反鄭王肅備鄙反云塞也
能舍	音捨
肥遯	如字子夏傳云肥饒裕
能累	劣偽反
繒	則能反
